origin,k,method,condition,mae
19,3,latest_eta,entropy_refusal50,66.83475633739367
19,3,latest_eta,future_stage_oracle_DIAGNOSTIC,66.34872866797977
19,3,latest_eta,independent_refusal25,66.91374720475844
19,3,latest_eta,independent_refusal50,66.90653096834484
19,3,latest_eta,proxy_clean,66.92096344117203
19,3,no_query,reference,66.89209849551762
19,3,random,adjacent_error10,66.93574556790934
19,3,random,adjacent_error20,67.09110919051129
19,3,random,entropy_refusal25,66.95920878153721
19,3,random,entropy_refusal50,66.93770110616657
19,3,random,future_stage_oracle_DIAGNOSTIC,66.01527512645866
19,3,random,independent_refusal25,66.80831108285994
19,3,random,independent_refusal50,66.8362402204125
19,3,random,proxy_clean,66.78038194530738
19,3,uncertainty,adjacent_error10,66.52991948788281
19,3,uncertainty,adjacent_error20,66.68219552279197
19,3,uncertainty,entropy_refusal25,66.8820360430571
19,3,uncertainty,entropy_refusal50,66.89073466943009
19,3,uncertainty,future_stage_oracle_DIAGNOSTIC,65.31436606418613
19,3,uncertainty,independent_refusal25,66.50625721360964
19,3,uncertainty,independent_refusal50,66.63487097424563
19,3,uncertainty,proxy_clean,66.37764345297364
19,5,all_future_stage_DIAGNOSTIC,reference,51.89878185927618
19,5,all_proxy_stage,reference,64.8399543159406
19,5,disagreement,adjacent_error10,66.70372352934353
19,5,disagreement,adjacent_error20,66.77191136511696
19,5,disagreement,entropy_refusal25,66.99050806243119
19,5,disagreement,entropy_refusal50,66.92891103977772
19,5,disagreement,future_stage_oracle_DIAGNOSTIC,65.61545716622435
19,5,disagreement,independent_refusal25,66.69967639405698
19,5,disagreement,independent_refusal50,66.76381709454385
19,5,disagreement,proxy_clean,66.6355356935701
19,5,gain,adjacent_error10,66.34555414857718
19,5,gain,adjacent_error20,66.38665929882056
19,5,gain,entropy_refusal25,66.81615562355796
19,5,gain,entropy_refusal50,66.76682406722101
19,5,gain,future_stage_oracle_DIAGNOSTIC,64.64410848439795
19,5,gain,independent_refusal25,66.45136137262975
19,5,gain,independent_refusal50,66.5982737469257
19,5,gain,proxy_clean,66.30444899833378
19,5,latest_eta,adjacent_error10,66.89278563381639
19,5,latest_eta,adjacent_error20,66.90765264413447
19,5,latest_eta,entropy_refusal25,66.86766335928303
19,5,latest_eta,entropy_refusal50,66.8808836343355
19,5,latest_eta,future_stage_oracle_DIAGNOSTIC,66.14528799878764
19,5,latest_eta,independent_refusal25,66.88146359150313
19,5,latest_eta,independent_refusal50,66.88500855950797
19,5,latest_eta,proxy_clean,66.87791862349832
19,5,no_query,reference,66.89209849551762
19,5,random,adjacent_error10,66.81280623628206
19,5,random,adjacent_error20,66.87689535064841
19,5,random,entropy_refusal25,66.9710226183845
19,5,random,entropy_refusal50,66.97018056269765
19,5,random,future_stage_oracle_DIAGNOSTIC,65.84294838765331
19,5,random,independent_refusal25,66.78456246531618
19,5,random,independent_refusal50,66.82040780871667
19,5,random,proxy_clean,66.7487171219157
19,5,uncertainty,adjacent_error10,66.5139051973851
19,5,uncertainty,adjacent_error20,66.57874935601536
19,5,uncertainty,entropy_refusal25,66.91721214410246
19,5,uncertainty,entropy_refusal50,66.88700361331847
19,5,uncertainty,future_stage_oracle_DIAGNOSTIC,65.27693611670936
19,5,uncertainty,independent_refusal25,66.55982040294553
19,5,uncertainty,independent_refusal50,66.67057976713623
19,5,uncertainty,proxy_clean,66.44906103875482
25,3,all_future_stage_DIAGNOSTIC,reference,51.736923141633994
25,3,all_proxy_stage,reference,62.57221728518555
25,3,disagreement,adjacent_error10,65.23781171750387
25,3,disagreement,adjacent_error20,65.40943550137591
25,3,disagreement,entropy_refusal25,65.38293555962169
25,3,disagreement,entropy_refusal50,65.3862187466767
25,3,disagreement,future_stage_oracle_DIAGNOSTIC,64.39206457679012
25,3,disagreement,independent_refusal25,65.1452135779527
25,3,disagreement,independent_refusal50,65.22423922227355
25,3,disagreement,proxy_clean,65.06618793363184
25,3,gain,adjacent_error10,64.69136299422722
25,3,gain,adjacent_error20,64.87488532319097
25,3,gain,entropy_refusal25,65.21901225877146
25,3,gain,entropy_refusal50,65.3188212268643
25,3,gain,future_stage_oracle_DIAGNOSTIC,63.30034530057687
25,3,gain,independent_refusal25,64.72645312667642
25,3,gain,independent_refusal50,64.94506558808938
25,3,gain,proxy_clean,64.50784066526346
25,3,latest_eta,adjacent_error10,65.51216544397222
25,3,latest_eta,adjacent_error20,65.63455522464882
25,3,latest_eta,entropy_refusal25,65.33413062240174
25,3,latest_eta,entropy_refusal50,65.3396288246491
25,3,latest_eta,future_stage_oracle_DIAGNOSTIC,64.82861874588723
25,3,latest_eta,independent_refusal25,65.38790437520055
25,3,latest_eta,independent_refusal50,65.38603308710546
25,3,latest_eta,proxy_clean,65.38977566329564
25,3,no_query,reference,65.38229051091528
25,3,random,adjacent_error10,65.33622815359892
25,3,random,adjacent_error20,65.5072388645946
25,3,random,entropy_refusal25,65.36522304282406
25,3,random,entropy_refusal50,65.41312998568027
25,3,random,future_stage_oracle_DIAGNOSTIC,64.34207608197443
25,3,random,independent_refusal25,65.21948570968125
25,3,random,independent_refusal50,65.27375397675927
25,3,random,proxy_clean,65.16521744260325
25,3,uncertainty,adjacent_error10,64.90115236544565
25,3,uncertainty,adjacent_error20,65.08703300323639
25,3,uncertainty,entropy_refusal25,65.36549431933513
25,3,uncertainty,entropy_refusal50,65.38345162933662
25,3,uncertainty,future_stage_oracle_DIAGNOSTIC,63.81351097651265
25,3,uncertainty,independent_refusal25,64.88202642347001
25,3,uncertainty,independent_refusal50,65.04878111928511
25,3,uncertainty,proxy_clean,64.71527172765492
25,5,all_future_stage_DIAGNOSTIC,reference,49.05106400434813
25,5,all_proxy_stage,reference,61.991449724671526
25,5,disagreement,adjacent_error10,65.04502953365774
25,5,disagreement,adjacent_error20,65.11869821764165
25,5,disagreement,entropy_refusal25,65.34074495821
25,5,disagreement,entropy_refusal50,65.38314884308447
25,5,disagreement,future_stage_oracle_DIAGNOSTIC,63.9839059200991
25,5,disagreement,independent_refusal25,65.0740932649842
25,5,disagreement,independent_refusal50,65.17682568029456
25,5,disagreement,proxy_clean,64.97136084967383
25,5,gain,adjacent_error10,64.5022369097164
25,5,gain,adjacent_error20,64.58275915005149
25,5,gain,entropy_refusal25,65.14898841079643
25,5,gain,entropy_refusal50,65.26577414727355
25,5,gain,future_stage_oracle_DIAGNOSTIC,63.028025726973794
25,5,gain,independent_refusal25,64.66185862976482
25,5,gain,independent_refusal50,64.90200259014831
25,5,gain,proxy_clean,64.42171466938133
25,5,latest_eta,adjacent_error10,65.3856337092911
25,5,latest_eta,adjacent_error20,65.3981004382455
25,5,latest_eta,entropy_refusal25,65.28284370538738
25,5,latest_eta,entropy_refusal50,65.30197387122071
25,5,latest_eta,future_stage_oracle_DIAGNOSTIC,64.57497847568945
25,5,latest_eta,independent_refusal25,65.37544786298135
25,5,latest_eta,independent_refusal50,65.37772874562599
25,5,latest_eta,proxy_clean,65.37316698033668
25,5,no_query,reference,65.38229051091528
25,5,random,adjacent_error10,65.17627176937998
25,5,random,adjacent_error20,65.24284975022252
25,5,random,entropy_refusal25,65.31473829801271
25,5,random,entropy_refusal50,65.4111250544645
25,5,random,future_stage_oracle_DIAGNOSTIC,64.13683998925426
25,5,random,independent_refusal25,65.17784296913192
25,5,random,independent_refusal50,65.24599214972636
25,5,random,proxy_clean,65.10969378853744
25,5,uncertainty,adjacent_error10,64.7007687350693
25,5,uncertainty,adjacent_error20,64.78939166126156
25,5,uncertainty,entropy_refusal25,65.39095800900854
25,5,uncertainty,entropy_refusal50,65.40201744625706
25,5,uncertainty,future_stage_oracle_DIAGNOSTIC,63.59279279738789
25,5,uncertainty,independent_refusal25,64.8046819843866
25,5,uncertainty,independent_refusal50,64.99721815989616
25,5,uncertainty,proxy_clean,64.61214580887705
