Route ID,mae,driver,origin
11195,69.97039398563808,15,19
11196,53.75453748978738,12,19
11199,48.59377653224314,143,19
11200,19.704965385466785,306,19
11201,62.474849772881875,96,19
11202,41.43063850201943,22,19
11204,27.932842734276345,18,19
11205,88.43229179207118,279,19
11207,50.59783346767002,282,19
11208,20.627842586639826,266,19
11209,62.243785512217244,31,19
11210,29.979194476916405,39,19
11211,123.50010203392218,350,19
11212,43.020641417309996,296,19
11213,42.21480952938467,164,19
11214,65.33782942847448,302,19
11215,37.836631600724715,41,19
11216,27.570137282580877,198,19
11217,32.28914483762035,162,19
11218,29.72106697460001,21,19
11219,40.924152881693765,325,19
11225,110.96632627714955,339,19
11226,41.277643329211514,127,19
11228,43.98010170809015,28,19
11229,24.311820081529806,99,19
11232,46.99595843961303,286,19
11233,133.88405285089303,197,19
11235,43.88092120462995,262,19
11241,90.7901019109581,32,19
11243,80.26456448958865,34,19
11250,73.31054108806353,268,19
11251,86.58869297790804,341,19
11252,30.657488602023168,128,19
11253,29.96937708096507,104,19
11254,36.32955370576481,274,19
11255,27.39579474675732,269,19
11259,104.77964685296162,234,19
11260,53.86038445992949,278,19
11263,125.30684847995464,38,19
11265,117.85209267325851,102,19
11266,47.76488243194972,301,19
11267,40.66400877301815,275,19
11270,23.315041212605664,270,19
11271,169.10116549934347,129,19
11273,61.81061756344384,343,19
11276,171.41496971781064,88,19
11277,56.554920147071996,297,19
11283,75.35029766961485,106,19
11284,86.85334997211882,46,19
11285,52.02041535391145,80,19
11288,19.063622360942396,283,19
11290,42.11914977323205,167,19
11292,83.17805412050616,113,19
11294,23.015800150158377,79,19
11295,120.79043303907704,206,19
11303,48.97037292736182,40,19
11304,76.72639596641643,150,19
11307,42.86762969444556,75,19
11311,152.50867098708878,45,19
11315,81.55292863221224,171,19
11324,87.95686295479649,87,19
11332,25.647697925488778,3,19
11335,30.62354600114092,141,19
11340,25.451902659120858,9,19
11343,102.89825147838765,2,19
11344,42.104460812424136,143,19
11349,30.000880238423136,96,19
11350,57.12617433474519,14,19
11352,35.7132410614294,202,19
11357,40.584993641263324,271,19
11358,38.27759909826968,266,19
11360,28.10470897149073,164,19
11361,122.77102678737091,339,19
11362,38.80553034271876,41,19
11367,67.80031951954344,273,19
11375,35.66889355334833,264,19
11377,69.92261354223609,288,19
11378,34.97674743318456,43,19
11379,31.786958012160937,145,19
11381,28.39007182281923,246,19
11384,45.68297567346535,296,19
11385,121.76672127893745,197,19
11386,77.36502972839922,341,19
11388,84.8876507112417,327,19
11389,44.51376915435526,269,19
11391,96.51948794454398,294,19
11392,45.26692577939462,279,19
11394,40.807347827248805,57,19
11397,53.36362039349491,325,19
11400,121.44258677562347,32,19
11402,34.227076127450076,314,19
11403,41.14583284246183,46,19
11406,30.28104557024048,102,19
11407,62.71655767949114,31,19
11412,54.176301121134635,338,19
11416,84.21768369201912,343,19
11418,20.993613232435354,165,19
11421,56.55092584651143,297,19
11426,110.17586602162905,80,19
11430,54.8391407814948,62,19
11432,60.910358773016455,345,19
11435,28.527387517288247,167,19
11441,28.980749824985388,79,19
11445,42.46126672435772,72,19
11447,107.74497509119561,70,19
11456,87.94298329223021,226,19
11465,122.01138549359874,87,19
11469,94.24508394676104,94,19
11473,27.924471677101643,9,19
11478,36.814075690944875,141,19
11479,25.19981093222462,7,19
11482,91.14457910513072,19,19
11484,42.04688047845509,16,19
11486,56.93055286132744,15,19
11488,41.14769903837435,306,19
11490,65.54939696357914,350,19
11494,19.746757007615535,198,19
11497,25.211954914284036,258,19
11501,29.602951775135995,266,19
11504,53.73481603090569,99,19
11506,46.33620456935994,162,19
11507,39.470816607988,286,19
11509,97.5507175001066,26,19
11510,51.44004668572105,21,19
11518,26.89636266914335,251,19
11521,30.36439607630429,296,19
11527,39.746951948495585,288,19
11528,86.97123411022375,197,19
11530,144.42205303959207,180,19
11531,57.02012311108712,325,19
11532,33.945152770667036,280,19
11533,19.329355946403055,270,19
11534,51.37823505973407,339,19
11541,60.906096327466315,129,19
11543,29.995682005096555,65,19
11545,27.299120607651663,207,19
11547,63.36011532893866,301,19
11548,59.486325013860665,102,19
11549,46.52004051896662,275,19
11550,64.80000077562565,64,19
11551,59.59065728094693,338,19
11553,47.0724227062758,165,19
11554,42.64727686118743,327,19
11555,75.89674026359766,343,19
11563,44.4689850580787,80,19
11567,45.569712621809565,37,19
11575,38.24842071597474,113,19
11577,38.82689240442686,117,19
11580,33.79454626392001,79,19
11587,44.85675152055084,131,19
11589,132.5311610333931,40,19
11599,151.26568372053103,219,19
11602,118.92606697186089,62,19
11603,119.62923704145153,174,19
11606,47.86824031787256,121,19
11609,92.14785608430981,109,19
11615,24.583349999122316,6,19
11620,40.11728891647328,160,19
11621,59.72498314210996,16,19
11625,36.09492618571107,96,19
11627,85.03228312338167,194,19
11628,41.3169254773116,350,19
11629,26.42192746093914,198,19
11631,15.332964013805588,67,19
11633,59.428594487046055,99,19
11634,48.31080690839645,286,19
11635,81.25412613328204,33,19
11639,25.33125401109978,258,19
11645,34.63389947517084,164,19
11647,28.274954627531777,266,19
11651,80.05950233240404,279,19
11653,50.098091583613886,291,19
11658,28.735095673374836,43,19
11664,155.3351359145591,180,19
