k,condition,reference,difference,low,high
3,proxy_clean,random,-0.7497582434750912,-0.9340959608688498,-0.5645481426546098
3,proxy_clean,uncertainty,-0.3975818993042825,-0.6194539680871478,-0.17212365467768592
3,proxy_clean,disagreement,-0.6909441263444012,-0.9107723083675848,-0.4766990515948121
3,proxy_clean,latest_eta,-0.7563763570732338,-0.9729390368560512,-0.528854920249104
3,proxy_clean,no_query,-0.8160049581449801,-1.0849999168627384,-0.5512975348920479
3,independent_refusal25,random,-0.5623186826063183,-0.7005719706516375,-0.42341110699095724
3,independent_refusal25,uncertainty,-0.29818642447821186,-0.46459047606536064,-0.12909274100826446
3,independent_refusal25,disagreement,-0.5182080947583007,-0.6830792312756887,-0.3575242886961089
3,independent_refusal25,latest_eta,-0.5672822678049253,-0.7297042776420386,-0.39664119018682803
3,independent_refusal25,no_query,-0.612003718608735,-0.8137499376470542,-0.41347315116903594
3,independent_refusal50,random,-0.3748791217375456,-0.4670479804344248,-0.28227407132730487
3,independent_refusal50,uncertainty,-0.19879094965214128,-0.30972698404357374,-0.08606182733884292
3,independent_refusal50,disagreement,-0.34547206317220064,-0.45538615418379247,-0.23834952579740593
3,independent_refusal50,latest_eta,-0.3781881785366169,-0.48646951842802577,-0.26442746012455204
3,independent_refusal50,no_query,-0.4080024790724901,-0.5424999584313694,-0.2756487674460239
3,entropy_refusal25,random,-0.25580516946516685,-0.37757790032342187,-0.13635306241988354
3,entropy_refusal25,uncertainty,-0.21072726770858677,-0.362937917435299,-0.04458603606852462
3,entropy_refusal25,disagreement,-0.19464503154981513,-0.34526141132008104,-0.046643955385678774
3,entropy_refusal25,latest_eta,-0.16164640460337767,-0.319928045059445,0.004302213404048042
3,entropy_refusal25,no_query,-0.20830042497303058,-0.37381039530316623,-0.018572356625436603
3,entropy_refusal50,random,-0.10204319664682039,-0.20610431389083936,0.0001580483774610245
3,entropy_refusal50,uncertainty,-0.05717046783066153,-0.18784219069437758,0.07500306405501933
3,entropy_refusal50,disagreement,-0.03814131029768726,-0.15701153382292715,0.0832560912907493
3,entropy_refusal50,latest_eta,-0.005352695569540994,-0.14765892805133415,0.13339379221503841
3,entropy_refusal50,no_query,-0.0511582620115948,-0.18336000916827827,0.08576766236522972
3,adjacent_error10,random,-0.7469144421257568,-0.9165109899020063,-0.5735039304552122
3,adjacent_error10,uncertainty,-0.39803451503484016,-0.6009405001645166,-0.1911510180568165
3,adjacent_error10,disagreement,-0.6784181930022737,-0.883498501363679,-0.48060329589768747
3,adjacent_error10,latest_eta,-0.6773907267680847,-0.8862521572190503,-0.4641206535376439
3,adjacent_error10,no_query,-0.6673998878209793,-0.9136279452097346,-0.422028065328419
3,adjacent_error20,random,-0.7440706407764223,-0.9002597790464439,-0.5861320022125966
3,adjacent_error20,uncertainty,-0.3984871307653976,-0.5803115573202066,-0.21092338257865517
3,adjacent_error20,disagreement,-0.6658922596601462,-0.8544085412651273,-0.4815307814692104
3,adjacent_error20,latest_eta,-0.5984050964629354,-0.7967186176548665,-0.3979802247334516
3,adjacent_error20,no_query,-0.5187948174969785,-0.7404683394388973,-0.2923892377110547
3,future_stage_oracle_DIAGNOSTIC,random,-1.3533369911478363,-1.543199410045048,-1.1789262929778723
3,future_stage_oracle_DIAGNOSTIC,uncertainty,-0.8615596546308545,-1.050717996945598,-0.6746709778845776
3,future_stage_oracle_DIAGNOSTIC,disagreement,-1.2986638442318525,-1.5117786508945712,-1.1076202293996287
3,future_stage_oracle_DIAGNOSTIC,latest_eta,-1.5774691808376964,-1.8052171301506712,-1.3628255061406205
3,future_stage_oracle_DIAGNOSTIC,no_query,-2.169391962716193,-2.404506803423211,-1.9510976927517947
5,proxy_clean,random,-0.8310353439285998,-1.0239424503838264,-0.6446198275510572
5,proxy_clean,uncertainty,-0.3441527719196975,-0.5823452236264853,-0.10279553583028293
5,proxy_clean,disagreement,-0.7572854366346641,-0.9735075173738856,-0.5311095042351592
5,proxy_clean,latest_eta,-0.8929803566706097,-1.1355489615211398,-0.6414701938208179
5,proxy_clean,no_query,-0.9089724435482733,-1.1943581399613716,-0.6056154425093384
5,independent_refusal25,random,-0.6232765079464497,-0.7679568377878697,-0.48346487066329297
5,independent_refusal25,uncertainty,-0.2581145789397732,-0.4367589177198642,-0.07709665187271217
5,independent_refusal25,disagreement,-0.5679640774759982,-0.7301306380304142,-0.3983321281763694
5,independent_refusal25,latest_eta,-0.6697352675029575,-0.8516617211408551,-0.4811026453656136
5,independent_refusal25,no_query,-0.6817293326612052,-0.895768604971029,-0.4542115818820039
5,independent_refusal50,random,-0.4155176719642999,-0.5119712251919132,-0.3223099137755288
5,independent_refusal50,uncertainty,-0.17207638595984873,-0.2911726118132426,-0.051397767915141404
5,independent_refusal50,disagreement,-0.378642718317332,-0.48675375868694304,-0.2655547521175796
5,independent_refusal50,latest_eta,-0.44649017833530497,-0.56777448076057,-0.3207350969104091
5,independent_refusal50,no_query,-0.4544862217741367,-0.5971790699806858,-0.30280772125466926
5,entropy_refusal25,random,-0.2687181920653945,-0.41098686362866227,-0.13046938125939334
5,entropy_refusal25,uncertainty,-0.229711925807733,-0.3997651675806534,-0.05553360565484993
5,entropy_refusal25,disagreement,-0.2720872588485999,-0.4303868848669796,-0.1172227455240514
5,entropy_refusal25,latest_eta,-0.21483568228910874,-0.39844333551019495,-0.030352428654100202
5,entropy_refusal25,no_query,-0.232602768818841,-0.4283069823503542,-0.027993759083291672
5,entropy_refusal50,random,-0.16767675258939835,-0.27441219768686137,-0.07260034315430504
5,entropy_refusal50,uncertainty,-0.11505392063077413,-0.2431177134164148,0.012138161261335798
5,entropy_refusal50,disagreement,-0.14373247407076672,-0.2709498935852857,-0.025396127492485206
5,entropy_refusal50,latest_eta,-0.07359042188091304,-0.22228874241031762,0.06937869870385374
5,entropy_refusal50,no_query,-0.10820455649799401,-0.23810126174300766,0.01888415146877035
5,adjacent_error10,random,-0.8272895958693262,-1.011149269904047,-0.6463771042829337
5,adjacent_error10,uncertainty,-0.36113306281924334,-0.5926798404691228,-0.1323164665941825
5,adjacent_error10,disagreement,-0.7573730918882939,-0.9648847239470795,-0.5430450699843673
5,adjacent_error10,latest_eta,-0.823395215562968,-1.058410654657914,-0.579477953142944
5,adjacent_error10,no_query,-0.8510705209382764,-1.122835955042376,-0.5593929702708479
5,adjacent_error20,random,-0.8235438478100529,-1.0002568742441216,-0.6490449876645391
5,adjacent_error20,uncertainty,-0.378113353718789,-0.6009381644853996,-0.15541188106335524
5,adjacent_error20,disagreement,-0.7574607471419239,-0.950890458592546,-0.5520693146637706
5,adjacent_error20,latest_eta,-0.7538100744553264,-0.9811310379145354,-0.5182444866330315
5,adjacent_error20,no_query,-0.7931685983282795,-1.0506518147427386,-0.5118804731519478
5,future_stage_oracle_DIAGNOSTIC,random,-1.4234305688580198,-1.6056025911574898,-1.2326601393462453
5,future_stage_oracle_DIAGNOSTIC,uncertainty,-0.8347085701371939,-1.047560992065317,-0.6134095488653676
5,future_stage_oracle_DIAGNOSTIC,disagreement,-1.267111455030223,-1.500688345276184,-1.0381362817539233
5,future_stage_oracle_DIAGNOSTIC,latest_eta,-1.6819423957059727,-1.9351851869101568,-1.4249454468500649
5,future_stage_oracle_DIAGNOSTIC,no_query,-2.379989913850378,-2.621664613003476,-2.122884658787691
