method,mae,answers,scope,k,condition,routes
latest_eta,73.3147273675176,0.6738813229571985,all,5,entropy_refusal50,4112
random,73.4088136982261,0.41489784799970075,all,5,entropy_refusal50,4112
uncertainty,73.35619086626747,0.02164396887159533,all,5,entropy_refusal50,4112
disagreement,73.25564407308471,1.0,all,5,adjacent_error10,4112
gain,72.49827098119641,1.0,all,5,adjacent_error10,4112
latest_eta,73.32166619675938,1.0,all,5,adjacent_error10,4112
random,73.32556057706574,1.0,all,5,adjacent_error10,4112
uncertainty,72.85940404401566,1.0,all,5,adjacent_error10,4112
disagreement,73.31363365094833,1.0,all,5,adjacent_error20,4112
gain,72.55617290380641,1.0,all,5,adjacent_error20,4112
latest_eta,73.30998297826173,1.0,all,5,adjacent_error20,4112
random,73.37971675161646,1.0,all,5,adjacent_error20,4112
uncertainty,72.9342862575252,1.0,all,5,adjacent_error20,4112
disagreement,73.48885628970235,1.0,all,5,arbitrary_error10,4112
gain,72.75724386775667,1.0,all,5,arbitrary_error10,4112
latest_eta,73.61716541112075,1.0,all,5,arbitrary_error10,4112
random,73.58962321294575,1.0,all,5,arbitrary_error10,4112
uncertainty,73.09119315164138,1.0,all,5,arbitrary_error10,4112
disagreement,73.78005808418362,1.0,all,5,arbitrary_error20,4112
gain,73.07411867692691,1.0,all,5,arbitrary_error20,4112
latest_eta,73.9009814069845,1.0,all,5,arbitrary_error20,4112
random,73.90784202337646,1.0,all,5,arbitrary_error20,4112
uncertainty,73.39786447277665,1.0,all,5,arbitrary_error20,4112
disagreement,78.29048493491301,1.0,mismatch_0_to_10pct,5,proxy_clean,929
gain,77.23728034186261,1.0,mismatch_0_to_10pct,5,proxy_clean,929
latest_eta,78.75333353242209,1.0,mismatch_0_to_10pct,5,proxy_clean,929
random,78.54270749716287,1.0,mismatch_0_to_10pct,5,proxy_clean,929
uncertainty,77.96470860806814,1.0,mismatch_0_to_10pct,5,proxy_clean,929
disagreement,72.05637841400825,1.0,mismatch_10_to_30pct,5,proxy_clean,1022
gain,70.80186470676811,1.0,mismatch_10_to_30pct,5,proxy_clean,1022
latest_eta,72.43609013036343,1.0,mismatch_10_to_30pct,5,proxy_clean,1022
random,72.18077326773158,1.0,mismatch_10_to_30pct,5,proxy_clean,1022
uncertainty,71.7872126177401,1.0,mismatch_10_to_30pct,5,proxy_clean,1022
disagreement,71.54802223077208,1.0,mismatch_over_30pct,5,proxy_clean,2161
gain,71.15310430402589,1.0,mismatch_over_30pct,5,proxy_clean,2161
latest_eta,71.42767322104828,1.0,mismatch_over_30pct,5,proxy_clean,2161
random,71.52109641770281,1.0,mismatch_over_30pct,5,proxy_clean,2161
uncertainty,71.02924950245972,1.0,mismatch_over_30pct,5,proxy_clean,2161
disagreement,100.65556943045186,1.0,driver_seen_False,5,proxy_clean,239
gain,99.80550841499164,1.0,driver_seen_False,5,proxy_clean,239
latest_eta,101.23365435073104,1.0,driver_seen_False,5,proxy_clean,239
random,100.85398110579335,1.0,driver_seen_False,5,proxy_clean,239
uncertainty,100.22538332123379,1.0,driver_seen_False,5,proxy_clean,239
disagreement,71.50324662805863,1.0,driver_seen_True,5,proxy_clean,3873
gain,70.7516863046022,1.0,driver_seen_True,5,proxy_clean,3873
latest_eta,71.61164198443382,1.0,driver_seen_True,5,proxy_clean,3873
random,71.56930374873667,1.0,driver_seen_True,5,proxy_clean,3873
uncertainty,71.091166318943,1.0,driver_seen_True,5,proxy_clean,3873
