attempt_change,routes,route_percent,mean_delta_attempts,mean_incremental_gain,median_incremental_gain,improved_percent,harmed_percent,over_5_minute_harm_percent,p10_incremental_gain,p90_incremental_gain,unchanged_percent
same,377,9.168287937743191,0.0,0.0,0.0,0.0,0.0,0.0,,,
fewer,2134,51.89688715953307,-2.349578256794752,0.039620387116515714,-0.24448775762722785,47.42268041237113,52.57731958762887,16.26054358013121,,,
more,1601,38.93482490272373,3.1317926296064957,2.6293757897972934,1.503387416682596,59.9000624609619,40.0999375390381,15.427857589006871,,,
overall,4112,100.0,0.0,1.0443046073862137,0.0,47.93287937743191,42.8988326848249,14.445525291828792,-7.192161696792477,10.370541916959676,9.16828793774319
