dimension,dimension_label,group_order,group,tasks,routes,drivers,route_balanced_mean_gain,ci_low,ci_high,harm_percent,severe_harm_percent,fixed_query_percent,allocation_query_percent,window_13_gain,window_19_gain,window_25_gain
route_size,Route deliveries,1,10--12,16117,1465,233,2.552372413216294,-0.10833173131477564,5.122448776474749,47.50367152756232,21.521253490536765,40.14655083255766,43.8022546281932,-0.22991484079310445,1.749084937186601,5.146592464139476
route_size,Route deliveries,2,13--17,27850,1887,210,0.06549998406536198,-3.3817589387830638,3.5013219492320666,48.821104794288175,22.015363113979028,29.788004904786913,28.94526170910254,-4.687504458500014,2.359703716773724,2.2848554456386285
route_size,Route deliveries,3,$\geq$18,15270,760,136,-0.4109483210418115,-4.1244376299754775,3.709745208856792,49.972698490538384,23.064957851578963,21.260354839741044,19.074967591677993,-3.3770640679174617,1.771062325273621,0.919654976442162
time_window_width,Time-window width (min),1,$\leq$240,34319,3862,248,-1.0930788908351805,-3.3846802718477136,1.140501129431723,49.706425288171346,18.94688454484298,22.372156328090043,21.996974322589676,-6.150542018455676,0.03929811347496305,2.323969919196403
time_window_width,Time-window width (min),2,241--420,16365,3730,253,4.3871806538528695,-0.7598658712195996,9.426608398187385,46.59999302905055,25.333241797705398,43.664253245501335,47.26514430853916,1.6171067467411993,4.999057503877382,6.658602944628784
time_window_width,Time-window width (min),3,$>$420,8553,2344,223,1.6679885158121457,-3.190152575310884,6.316642212602606,47.912703267476545,27.784697401621113,46.54104117758521,44.45754388329118,-0.3712889257397453,4.15612280313921,1.3208254733109774
predicted_position,Predicted route position,1,early,18622,4112,261,-1.8546492477782177,-5.527362303094683,1.511500449513584,47.85391874177859,19.268171395806835,26.154774684737745,27.488065443810488,-3.3410118997040246,-2.605721465863801,0.47194806840748355
predicted_position,Predicted route position,2,middle,19624,4112,261,2.2220154244957047,-0.3830851514765648,4.785020857999301,47.5292443622007,24.221247387251896,38.1398736105025,38.16361183981073,-3.9538277637159056,4.778922751764333,5.603541313316867
predicted_position,Predicted route position,3,late,20991,4112,261,1.980118262415938,-0.4542227287264502,4.601619139426639,50.1465778126927,22.421705070402044,31.142090057256354,31.38821784022025,-1.5964394518492113,3.521909573759675,3.8271996882604062
driver_history,Driver history,1,limited,12971,874,143,-2.7186865269025424,-6.711093251486304,1.7033356788888643,50.819963836555374,31.236222176703894,27.681387400184125,34.160819391545196,-11.15067089886601,10.852309113148767,8.233628078226792
driver_history,Driver history,2,moderate,8792,622,92,1.6388762659515341,-3.1651832785173526,6.056689413133228,48.95280063741942,22.062733478437625,32.18405648845646,37.11848614064078,5.049478355864746,-0.046408716834900686,-0.10482787396467602
driver_history,Driver history,3,experienced,37474,2616,150,1.8758617425047408,-1.453566370560359,5.143374440588284,47.718755350873664,18.951649893305586,33.24561016041751,30.71205379104195,1.2580172119498294,1.0299220857736129,2.960120569955367
address_history,Address history,1,limited,15825,3386,250,0.11691919175727322,-3.433118882470446,4.295678628274569,50.60978821945874,31.12230996312359,41.91779976931864,44.73419737177084,-6.919969111576595,7.510004847947346,10.220196970484087
address_history,Address history,2,moderate,20989,3444,250,2.264138199172862,-0.44018965989988895,5.007736567485221,47.98905580641578,20.75450724966102,28.90695426167631,28.864661975030202,1.8361565838545408,0.9931266019757703,4.845535727324698
address_history,Address history,3,familiar,22423,3141,244,0.1007755197947398,-3.283442728398513,3.126559514005847,47.727005008488405,17.163516568437036,27.959620201192404,27.442843144792032,-2.4946763681934003,0.32887356935885603,0.9564101742182535
stage_entropy,Stage uncertainty,1,low,17675,3298,240,-2.84210237829186,-7.186798932192044,0.9712404602762731,49.78425847351339,14.047514756171259,16.16003842487095,15.710864686209563,-3.169948081715019,-3.054120134602499,-2.350589628648282
stage_entropy,Stage uncertainty,2,medium,19566,3813,256,0.765625841047694,-1.5289101101368099,2.97530213139455,48.64515181158123,21.348020179621045,33.88004131257664,32.24497470349023,-2.3580557521270857,-0.6360629977300684,3.8335566763219493
stage_entropy,Stage uncertainty,3,high,21996,3597,260,3.9102833962211596,0.1902580596198807,7.7544796225726165,47.51790555793936,29.029268007813506,42.6786181783033,45.90202069144523,-3.0721656756414317,10.113580763782467,9.041743310666595
